Data (link pndb),Title,Description,Species,Gbif link,Where to find the dataset
https://pndb.opendatasoft.com/explore/assets/abondance-dhuitre-plate-ostrea-edulis-observee-lors-des-campagnes-scientifiques-sur-la-periode-2007-2010/,,,"Ostrea edulis
",https://www.gbif.org/species/2286060,https://sextant.ifremer.fr/geonetwork/srv/fre/catalog.search#/metadata/485b6040-ebdb-40b1-ad04-92a6692df492
https://pndb.opendatasoft.com/explore/assets/suivi-de-lichtyofaune-de-la-reserve-naturelle-cerbere-banyuls-rncb-merou-corb-sar-tambour/,,,"Epinephelus marginatus, Sciaena umbra, Diplodus cervinus","https://www.gbif.org/species/2388507, https://www.gbif.org/species/2399670, https://www.gbif.org/species/5712108","https://cat.indores.fr/geonetwork/srv/fre/catalog.search#/metadata/efd5310c-ca8a-4d77-bcbc-c9eba1266a40
(I didn’t find it or I don’t have access to it)"
https://pndb.opendatasoft.com/explore/assets/variabilite-des-traits-et-de-lenvironnement-stationnel-et-edaphique-chez-la-plante-subantarctique-lyallia-kerguelensis-iles-kerguelen-2015-2019-ipev-plantevol/,,,Lyallia kerguelensis,https://www.gbif.org/species/3701799,https://cat.indores.fr/geonetwork/srv/fre/catalog.search#/metadata/7528fbbb-e1ac-4db2-a179-f20d3f03ff83
https://pndb.opendatasoft.com/explore/assets/abondance-de-petit-tacaud-trisopterus-minutus-observee-lors-des-campagnes-scientifiques-sur-la-periode-2005-2010/,,,"Trisopterus minutus
",https://www.gbif.org/species/2415906,https://sextant.ifremer.fr/geonetwork/srv/fre/catalog.search#/metadata/6604e168-c70a-487a-ad53-26434427d0b6
https://pndb.opendatasoft.com/explore/assets/peuplements-benthiques-subtidaux-de-la-baie-de-douarnenez-a-blanchet-2005-donnees-vectorielles/,,,"Ophiocomina nigra, Ophiothrix fragilis","https://www.gbif.org/species/2275361, https://www.gbif.org/species/5187835","https://sextant.ifremer.fr/Donnees/Catalogue#/map
https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/1ce106b1-215f-4fee-8153-68a61bd289ce"
,,,,,
,,,,,
https://pndb.opendatasoft.com/explore/assets/a-gridded-sea-surface-salinity-data-set-for-the-pacific-ocean/,,,couldn’t find,,https://sextant.ifremer.fr/geonetwork/srv/eng/catalog.search#/metadata/3b107323-0fde-067e-1ba2-f819f2900f50
https://pndb.opendatasoft.com/explore/assets/annually-binned-sea-surface-salinity-temperature-and-density-in-the-north-atlantic-subpolar-gyre-40degn-70degn/,,,couldn’t find,,it says no result when i put the Identificateur de ressource unique
https://pndb.opendatasoft.com/explore/assets/0-250-m-ocean-temperature-mooring-line-azur-buoy/,,,couldn’t find,,https://sextant.ifremer.fr/geonetwork/srv/eng/catalog.search#/metadata/b3133dd3-0142-9c83-8c87-020c6f96bdeb
https://pndb.opendatasoft.com/explore/assets/0-250-m-ocean-temperature-mooring-line-lion-buoy/,,,couldn’t find,,https://sextant.ifremer.fr/geonetwork/srv/eng/catalog.search#/metadata/085e89d2-fec3-3f55-8cf1-6ae998cbbf40
https://pndb.opendatasoft.com/explore/assets/donnees-annuelles-de-2014-a-2019issues-des-enquetes-sur-les-pratiques-agricoles-phytosanitairesfertilisation-et-travail-du-sol-dans-les-parcelles-du-reseau-sebiopagsite-detude-des-vallees-et-coteaux-de-gascogne/,,,couldn’t find,,https://cat.indores.fr/geonetwork/srv/eng/catalog.search#/metadata/SEBIOPAG_2014-2019_pratiques_Toulouse
https://pndb.opendatasoft.com/explore/assets/donnees-botaniques-annuelle-des-relevees-effectues-dans-les-parcelles-de-grandes-cultures-etudiees-dans-le-cadre-du-reseau-sebiopagde-2014-a-2019/,,,couldn’t find,,https://cat.indores.fr/geonetwork/srv/eng/catalog.search#/metadata/SEBIOPAG_2014_2019%20flore_bota_Toulouse
https://pndb.opendatasoft.com/explore/assets/inventaire-des-gisements-de-petoncle-chlamys-varia-l-dans-la-region-de-la-rochelle-letaconnoux-audouin-1956-etat-1951/,,,"Chlamys varia, Mimachlamys varia
","https://www.gbif.org/species/5188879, https://www.gbif.org/species/4373480",https://sextant.ifremer.fr/geonetwork/srv/eng/catalog.search#/metadata/b8d438e9-8fb7-47e1-a9bd-df74c4f0e910
,,,,,
https://pndb.opendatasoft.com/explore/assets/dental-microwear-textures-of-extant-ruminants-from-the-bauges-regional-natural-park-france/,,,"Capreolus capreolus, Cervus elaphus, Ovis gmelini, Rupicapra rupicapra","https://www.gbif.org/species/5220126, https://www.gbif.org/species/2440958, https://www.gbif.org/species/8364375, https://www.gbif.org/species/5220170",I got this message : This XML file does not appear to have any style information associated with it. The document tree is shown below.
https://pndb.opendatasoft.com/explore/assets/inventaire-des-herbiers-a-zostera-noltii-dans-la-masse-deau-cotiere-pertuis-breton-etat-2006-2007-surveillance-dce/,,,Zostera noltii,https://www.gbif.org/species/2863938,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/3ad6702c-3988-4b1c-9a40-15ebfd4ea3b4
https://pndb.opendatasoft.com/explore/assets/inventaire-des-gisements-de-petoncle-chlamys-varia-l-dans-la-region-de-la-rochelle-letaconnoux-audouin-1956-etat-1951/,,,"Chlamys varia, Mimachlamys varia(new name)
","https://www.gbif.org/species/5188879, https://www.gbif.org/species/4373480",Message: This XML file does not appear to have any style information associated with it. The document tree is shown below.
,,,,,
https://pndb.opendatasoft.com/explore/assets/composition-de-la-richesse-specifique-de-la-macrofaune-regroupee-par-groupes-trophiques-observee-par-video-rotative-staviro-par-station-en-nouvelle-caledonie/,,,Couldn’t find,,"https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/6bd106d4-0d77-47a6-9fa9-5569990c57e7
 access to data restricted"
https://pndb.opendatasoft.com/explore/assets/dcsmm2018-om-d1c4-repartition-spatiale-des-oiseaux-en-mer-grands-puffins-puffinus-gravis-puffinus-griseus-2012/,,,"Puffinus gravis, Puffinus griseus","https://www.gbif.org/species/5229343, https://www.gbif.org/species/5739277",https://sextant.ifremer.fr/record/ede92f58-5d9c-4f21-998e-8f27bf02127b/
https://pndb.opendatasoft.com/explore/assets/dechets-ingeres-par-les-tortues-marines-en-atlantique-et-en-mediterranee0/,,,Couldn’t find,,"https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/0a2b2d44-b588-492a-b321-fc957a098857
restricted access
maybe we need an account to access data on sextant"
