Data (link pndb),Title,Description,Species,Gbif link
https://pndb.opendatasoft.com/explore/assets/mesure-colibri-juin-2017-zatu/,Mesure Colibri juin 2017 ZATU,"Lien vers la fiche source
Prise de mesure à l'aide d'un colibri (Canberra) pour la réalisation d'une cartographie gamma du site de Rophin et de ses environs. Les données contiennent les positionnements GPS, la mesure en nano-sievert par heure, le débit de dose, la dose cumulée et le coefficient de calibration. Contributeurs : IPHC",,
https://pndb.opendatasoft.com/explore/assets/pollen-species-carried-by-wild-bees-in-wooded-and-herbaceous-semi-natural-habitats/,Pollen species carried by wild bees in wooded and herbaceous semi-natural habitats,"Lien vers la fiche source
The aim was to assess the pollens carried by wild bees hunted in three types of semi-naturel habitats :permanent grasslands,forest edges and hedgerows. The bees were netted in each of these habitats,in 30 landscapes selected according to a gradient of % woodland. Pollen grains were collected on female bee’s body with a fine tweezer and a moistened brush and were deposited directly into a droplet of water placed on a microscope slide. Pollen grains from each individual bee were observed under a x400 optical microscope and identified to genera or species level based on the pollen reference collection of the INRAe du Magneraud.",,
https://pndb.opendatasoft.com/explore/assets/variabilite-des-traits-et-de-lenvironnement-stationnel-et-edaphique-chez-la-plante-subantarctique-lyallia-kerguelensis-iles-kerguelen-2015-2019-ipev-plantevol/,"Variabilité des traits et de l'environnement stationnel et édaphique chez la plante subantarctique Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol)","Lien vers la fiche source
Trait and environmental (geomorphological, topographical, edaphic) variability in the sub-Antarctic plant Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol) Les données présentées dans les deux tableaux ont été acquises au cours d'une étude de quatre ans (2015-2019) à travers le programme IPEV n°1116 ""PlantEvol"" (F. Hennion) et portent sur 319 plantes de Lyallia kerguelensis distribuées dans 19 populations aux Iles Kerguelen. Le tableau “individual_variables .csv"" présente les traits morphologiques et biotiques par individu. Ces traits ont été en partie mesurés directement sur les plantes in situ et en partie extraits par une approche de photointerprétation à partir d'images calibrées des plantes. Le tableau “population_variables .csv” présente la localisation et les variables environnementales par population. Ces données ont été utilisées dans le cadre de l'article « Morphological variability of cushion plant Lyallia kerguelensis (Caryophyllales) in relation to environmental conditions and geography in the Kerguelen Islands: implications for cushion necrosis and climate change », 2020, L.J Marchand, M. Tarayre, T. Dorey, Y. Rantier et F. Hennion, Polar Biology, https://doi.org/10.1007/s00300-020-02768-2 et de la thèse de L.J. Marchand. Mots-clés: morphometry, morphological trait, cushion plant, cushion necrosis, neighbouring plant, environment, sub-Antarctic, soil, fellfield, topography",Lyallia kerguelensis,https://www.gbif.org/fr/species/3701799
https://pndb.opendatasoft.com/explore/assets/donnees-de-replication-pour-mating-system-and-the-evolution-of-recombination-rates-in-seed-plants-ecobio/,Données de réplication pour : Mating system and the evolution of recombination rates in seed plants ECOBIO,"Lien vers la fiche source
Code and data to replicate the results in the paper Mating system and the evolution of recombination rates in seed plants. This publication is a meta-analysis gathering data on genetic maps and life history traits in more than one hundred plant species.",,
https://pndb.opendatasoft.com/explore/assets/dataset-of-male-and-female-reproductive-success-in-the-forest-tree-species-abies-alba-mill/,Dataset of male and female reproductive success in the forest tree species Abies alba Mill.,"Lien vers les données
Silver fir (Abies alba Mill.) is a shade tolerant European conifer, distributed across temperate mountain areas (e.g. in France: Pyrenees, Massif Central, Alps, Jura, Vosges, Montagne de l'Aigle), at moderate elevations between 300 and 1800 meters above sea level. This monoecious, wind-pollinated species is self-compatible and has a mixed mating system, although it passively avoids self-fertilization (geitonogamy): female strobili (i.e. cones) are located within the top third of the crown, whereas male strobili (catkins) are located within the bottom two thirds of the crown.
The dataset includes male and female reproductive yield (pollen and cone production), tree location, tree density, height, circumference and crown shape, quality of seeds (filled versus empty seeds and selfing rate), and seed weight of 148 silver fir trees from two marginal mountains in the south-eastern French Alps, Ventoux and Lure, monitored over a period of four years (2002-2005). This period includes year 2003, characterized by an intense summer heat wave in that part of France. The data also include selfing rate calculated using genotyping of chloroplast DNA (microsatellites) as explained in the PhD thesis of G. Restoux (2009). The data can be used to test the effect of environmental drivers on selfing and female reproductive success and shed light on the evolution of mixed mating in plants.
The data are in file ""Data_selfing"" and the description of the dataset contents is in file ""MetaData_Selfing_En"" for the English version of the metadata and in file ""MetaData_Selfing_Fr"" for the French version.",Abies alba,https://www.gbif.org/fr/species/2685484
https://pndb.opendatasoft.com/explore/assets/individual-fruit-and-cone-production-pollen-and-biomass-data-for-european-beech-fagus-sylvatica-l-and-silver-fir-abies-alba-mill-from-their-geographic-range-margins-in-south-eastern-france/,"Individual fruit and cone production, pollen and biomass data for European beech (Fagus sylvatica L.) and silver fir (Abies alba Mill.) from their geographic range margins in south-eastern France","Lien vers les données
Among the phenotypic and functional traits of interest in a context of rapidly changing environmental conditions linked to anthropogenic global warming, fruiting data are often lacking, even though they are fundamental for assessing the adaptive capacities of species and for modeling their ecological niche and simulating their evolution. Inter-annual alternations of high and low fruiting and the correlation between this masting phenomenon and resource allocation to other functions, such as growth, are relatively poorly documented in forest trees.

This paper presents a long-term monitoring dataset containing observations of the annual production of female reproductive structures (strobili) over an 18-year period, combined with observations of the annual production of male flowers and cones, dendrometric data (circumference at breast height, total height, crown base heights) and tree health status, at individual tree level. The observations concern two major species of European lowland and mountain forest ecosystems, common beech (Fagus sylvatica L.) and silver fir (Abies alba Mill.). The individual observations were made in a mountain forest located at the southern edge of the distribution range of these two species, along a marked altitude gradient [963 to 1521m] that makes this site a natural laboratory for deciphering processes of micro-geographical adaptation and plasticity: Mont Ventoux (France).

For financial reasons (long-term monitoring is dependent on shorter-term, project-based research funding), the number of trees monitored per year varies. For example, there are no fruiting data for 2008, 2009 and 2010 for common beech and 2022 for both species. Despite these short interruptions, the publication contains a total of 2247 cone observations made on 334 fir trees and 2694 fruiting observations made on 422 beech trees between 2006 and 2024.

The dataset contains 3 data files:
- Fructification_data_Ventoux.csv : Data on fruit production, dendrometry (CBH and Ht), health status and mortality;
- MaleFlowers_data_Ventoux.csv : Male flower inflorescence production ;
- FructificationBiomass_data_Ventoux.csv : cone biomass estimation data, as the “cone length” proxi.
Common variables (Original_ID, Taxon_Name and Year) make it easy to compare data from the 3 files. The dataset also contains a documentation file describing the variables measured and observed, that are present in the 3 data files.","Fagus sylvatica, Abies alba","https://www.gbif.org/fr/species/2882316, https://www.gbif.org/fr/species/2685484"
https://pndb.opendatasoft.com/explore/assets/replication-data-for-effects-of-pathogen-reproduction-system-on-the-evolutionary-and-epidemiological-control-provided-by-deployment-strategies-for-two-major-resistance-genes-in-agricultural-landscapes/,"Replication data for ""Effects of pathogen reproduction system on the evolutionary and epidemiological control provided by deployment strategies for two major resistance genes in agricultural landscapes""","Lien vers les données
R code for reproducing the analysis, results and figures presented in the article Zaffaroni M., Rimbaud L., Rey J-F., Papaïx J. & Fabre F. 2024. Effects of pathogen reproduction system on the evolutionary and epidemiological control provided by deployment strategies for two major resistance genes in agricultural landscapes. Evolutionary Applications, in press, 10.1111/eva.13627",,
https://pndb.opendatasoft.com/explore/assets/cartographie-des-colonies-de-crepidules-crepidula-fornicata-linne-1758-dans-la-baie-de-marennes-oleron-etat-1994-1995/,"Cartographie des colonies de crépidules (Crepidula fornicata Linné, 1758) dans la baie de Marennes-Oléron. Etat 1994-1995","Lien vers les données
Cartographie des colonies de la crépidule dans le bassin de Marennes-Oléron et la presqu'île de Fouras - île d'Aix, crées à l'issue du dépouillement de relevés sonar. Des prélèvements ponctuels pour calibration de l'imagerie acoustique ont été réalisés à la benne Shipeck (0,04 m²) pour les prélèvements sédimentaires et à la drague à pétoncle (1,50 m, maille 35 mm) pour les prélèvements de crépidules. L'interprétation acoustique a permis de reconnaître des tâches denses et tapis très denses de crépidules, les escarpement rocheux, les roches et barres rocheuses et les traits de chalutage",Crepidula fornicata,https://www.gbif.org/fr/species/5192789
https://pndb.opendatasoft.com/explore/assets/estimation-des-abondances-ponderees-par-canyon-des-funiculina-quadrangularis-observees-en-submersibles-entre-1995-et-2011-en-mediterranee-francaise/,Estimation des abondances (pondérées par canyon) des Funiculina quadrangularis observées en submersibles entre 1995 et 2011 en Méditerranée française,"Lien vers les données
Couche de points représentant les abondances pondérées par canyon des organismes observés pendant des plongées en submersible dans les canyons de Méditerranée continentale.",Funiculina quadrangularis,https://www.gbif.org/fr/species/2258652
https://pndb.opendatasoft.com/explore/assets/presence-de-renouees-en-region-auvergne-rhone-alpes/,Présence de Renouées en Région Auvergne-Rhône-Alpes,"Lien vers la fiche source
DES TACHES DE RENOUÉES (FALLOPIA X BOHEMICA) ONT ÉTÉ IDENTIFIÉES ET LEUR CAPACITÉ DE REPRODUCTION SEXUÉE A ÉTÉ RELEVÉE (PRESENCE D'AKÈNES). LES CAPACITÉS GERMINATIVES DE CES PROPAGULES SEXUÉES AINSI QUE LES CAPACITÉS DE DISPERSION ONT ÉTÉ ETUDIÉES .",,
https://pndb.opendatasoft.com/explore/assets/distribution-de-mimachlamys-varia-cperm-367-aphiaid-236719-en-atlantique/,"Distribution de Mimachlamys varia (CPERM 367, AphiaID 236719) en ATLANTIQUE","Lien vers les données
Distribution du taxon Mimachlamys varia établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Mimachlamys varia,https://www.gbif.org/fr/species/4373480
https://pndb.opendatasoft.com/explore/assets/distribution-de-anapagurus-hyndmanni-cperm-1005-aphiaid-107217-en-atlantique/,"Distribution de Anapagurus hindmanni (CPERM 1005, AphiaID 107217) en ATLANTIQUE","Lien vers les données
Distribution du taxon Anapagurus hindmanni établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Anapagurus hyndmanni,https://www.gbif.org/fr/species/4312306
https://pndb.opendatasoft.com/explore/assets/distribution-de-jorunna-tomentosa-cperm-2418-aphiaid-140166-en-atlantique/,"Distribution de Jorunna tomentosa (CPERM 2418, AphiaID 140166) en ATLANTIQUE","Lien vers les données
Distribution du taxon Jorunna tomentosa établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Jorunna tomentosa,https://www.gbif.org/fr/species/2292454
https://pndb.opendatasoft.com/explore/assets/distribution-de-berthella-plumula-cperm-7486-aphiaid-140812-en-atlantique/,"Distribution de Berthella plumula (CPERM 7486, AphiaID 140812) en ATLANTIQUE","Lien vers les données
Distribution du taxon Berthella plumula établie à partir des données de densité d'abondance relative cumulées et krigées issues des campagnes halieutiques EVHOE (2008-2013), LANGOLF (2011-2013), NURSE (2000-2013), ORHAGO (2011-2015)",Berthella plumula,https://www.gbif.org/fr/species/2302622
https://pndb.opendatasoft.com/explore/assets/densite-des-principales-familles-taxonomiques-de-lichtyofaune-observees-par-video-rotative-staviro-par-station-en-nouvelle-caledonie/,Densité des principales familles taxonomiques de l’ichtyofaune observées par vidéo rotative STAVIRO par station en Nouvelle-Calédonie,"Lien vers les données
Densité par famille taxonomique et par station : nombre d’individus dans un rayon de 5 m autour du système STAVIRO, rapporté à une surface de 100 m².",,
https://pndb.opendatasoft.com/explore/assets/diversite-des-pratiques-agricoles-et-des-insectes-auxiliaires-carabes-ille-et-vilaine-sud-2012-2013/,"Diversité des pratiques agricoles et des insectes auxiliaires (carabes) (Ille et Vilaine sud, 2012-2013)","Lien vers la fiche source
L’objectif de ce projet est d’évaluer les effets de la diversité et de l’organisation spatiale des pratiques en Agriculture Biologique et en Agriculture Conventionnelle dans des systèmes de polyculture-élevage bretons sur les insectes auxiliaires, à l’échelle de la parcelle et du paysage. Dans 80 paysages d’Ille et Vilaine sud, un suivi des communautés d'auxiliaires (coccinelles, carabes, parasitoïdes) et des ravageurs du blé d'hiver (pucerons) a été réalisé entre avril et juillet, dans une parcelle de blé biologique et une parcelle de blé conventionnelle. Une cartographie précise de l’occupation du sol de chaque paysage a été réalisée, ainsi que des enquêtes avec les exploitants afin de relever les pratiques agricoles mises en œuvre dans les parcelles suivies et dans leur environnement paysager proche. Cette étude a été en partie financée par le projet ANR Landscaphid.",,
https://pndb.opendatasoft.com/explore/assets/carte-de-repartition-dophioglossum-lusitanicum-ouessant-2005/,"Carte de répartition d'Ophioglossum lusitanicum, Ouessant (2005)","Lien vers la fiche source
Liste Rouge du Massif Armoricain",Ophioglossum lusitanicum,https://www.gbif.org/fr/species/2650128
https://pndb.opendatasoft.com/explore/assets/carte-de-repartition-de-rumex-rupestris-ouessant-2005/,"Carte de répartition de Rumex rupestris, Ouessant (2005)","Lien vers la fiche source
Espèce de l'Annexe I Directive Habitat, protégée nationalement, Liste Rouge National, Liste Rouge du Massif Armoricain",Rumex rupestris,https://www.gbif.org/fr/species/4036610
https://pndb.opendatasoft.com/explore/assets/rhoneco-baix-le-logis-neuf-2010-2018-suivi-scientifique-du-programme-de-restauration-hydraulique-et-ecologique-du-rhone/,RhônEco - Baix-le-Logis-neuf 2010-2018 : Suivi scientifique du programme de restauration hydraulique et écologique du Rhône,"Lien vers la fiche source
Suivi des vieux-Rhône : chenal principal du Rhône - Suivi des peuplements de macroinvertébrés benthiques entre 2011 et 2017 - Suivi des peuplements de poissons sur la période 2010-2018 CONTEXTE : évaluation des effets de l'augmentation du débit réservé dans le vieux-Rhône et de la restauration physique des lônes AUTEURS: LEHNA-IRSTEA Lyon FINANCEURS, PROPRIETAIRES : Agence de l'Eau RM&C, Région Rhône-Alpes (FEDER), Région Provence Alpes-Côte d'Azur, Compagnie Nationale du Rhône, EDF, Syndicat du Haut-Rhône",,
https://pndb.opendatasoft.com/explore/assets/zones-dalimentation-des-couples-de-craves-a-bec-rouge-ouessant-1998/,"Zones d'alimentation des couples de craves à bec rouge, Ouessant (1998)","Lien vers la fiche source
Pour quantifier l'importance de cette sélection de l'habitat, notamment lors de périodes cruciales comme le moment de la reproduction, il est nécessaire de pouvoir comparer les surfaces d'habitats disponibles pour chacun des couples et leurs fréquences d'utilisation. Ainsi à Ouessant entre 1998 et 2003, l'ensemble des couples nicheurs a été suivi tout au long du cycle de reproduction, exception faite de 2001 où seulement la moitié a pu être suivie convenablement, soit un total de 68 territoires suivis. Pour chaque année et chaque couple, nous avons ainsi pu modéliser les territoires alimentaires utilisés. En période de reproduction deux critères de sélection ont pu ainsi être identifiés: les habitats ras et la distance au nid. Plus les parcelles d'habitats favorables (pelouse et landes rases) sont éloignées du nid moins elles sont utilisées. Le succès reproducteur apparaît influencé par les superficies d'habitats ras à proximité du nid. Pour plus de détails sur la méthodologie et les résultats : Kerbiriou C., Le Viol, I., Nisser, J., Audevard, A., Le Pennec, V. Biologie de la reproduction du Crave à bec rouge (Pyrrhocorax pyrrrhocorax) en Bretagne (France) Alauda in press Kerbiriou, C., Gourmelon, F., Jiguet F., Le Viol I., Bioret F., & Julliard R.,. 2006 Linking territory quality and reproductive success in the chough (Pyrrhocorax pyrrrochorax): implications for conservation management of an endangered population. Ibis 148: 352-364",Pyrrhocorax pyrrochorax,https://www.gbif.org/fr/species/2482552
