Data (link pndb),Title,Description,Species,Gbif link
https://pndb.opendatasoft.com/explore/assets/16s-sequencing-of-a-synthetic-bacterial-community-associated-with-microalgae-alexandrium-minutum-and-prymnesium-parvum/,16S sequencing of a synthetic bacterial community associated with microalgae (Alexandrium minutum an...,Lien vers les données This study aims to characterize the assemblage of a synthetic bacterial community when exposed to the exudates of Alexandrium minutum and Prymnesium parvum in presence and absence of microalgal cells. Both free-living and host-cell-attached bacterial communities were analyzed.,"Alexandrium minutum, Prymnesium parvum","https://www.gbif.org/species/3205121, https://www.gbif.org/species/7513065"
https://pndb.opendatasoft.com/explore/assets/2d-3d-coordinates-for-equids-lower-cheek-teeth-and-metapodials-for-geometric-morphometrics/,"2D, 3D coordinates for Equids' Lower Cheek Teeth and Metapodials for Geometric Morphometrics","Lien vers les données Equids have shaped past Eurasian societies in many ways. This applies in particular to domestic horses, donkeys, and their hybrids. Key to documenting modes of exploitation and cultural trajectories in past societies is the correct taxonomic classification of tooth and bone specimens found in archaeological sites. However, close osteomorphological resemblance of wild and domestic equids and their economically valuable hybrids, i.e. mules and hinnies, complicates the identification of intentionally fragmented or naturally damaged archaeological specimens. Here, we apply Geometric Morphometrics (GM) to mandibular teeth and metapodials, two skeletal elements commonly found in archaeological collections and known for their diagnostic properties using traditional morphometric methods. We registered a statistically representative set of 2D and 3D coordinates on mandibular teeth (P3, P4, M1, M2) and metapodials of 92 domestic horses (Equus caballus Linnaeus, 1758), 70 domestic donkeys (Equus asinus Linnaeus, 1758), 30 hybrids, and 63 Asiatic wild asses (Equus hemionus Pallas, 1775). Taxonomic classification of these 255 specimens considered both shape and form, applying Linear Discriminant Analysis, k-Nearest Neighbors algorithm and Artificial Neural Networks to seven combinations of taxa. We obtained correct classifications in over 87% and 80% respectively of the premolars and molars and in over 93% and 89% respectively of the metacarpals and metatarsals. This modern dataset was then used to classify equid specimens from three archaeological sites in the Middle East already analyzed morphologically. Taking into account the past zoogeography of wild equids and the historical distribution of their domesticated descendants and hybrids, the GM approach presented in this study offers the possibility to morphologically classify archaeological equids with far greater certainty than has been the case so far.","Equus asinus, Equus asinus, Equus caballus, Equus caballus, Equus hemionus, Equus hemionus","https://www.gbif.org/species/2440891, https://www.gbif.org/species/2440891, https://www.gbif.org/species/2440886, https://www.gbif.org/species/2440886, https://www.gbif.org/species/2440893, https://www.gbif.org/species/2440893"
https://pndb.opendatasoft.com/explore/assets/a-broad-scale-long-term-dataset-of-sabellaria-alveolata-distribution-and-abundance-curated-through-the-reehab-reef-habitat-project/,A broad-scale long-term dataset of Sabellaria alveolata distribution and abundance curated through t...,"Lien vers les données Numerous reef-forming species have declined dramatically in the last century, many of which have been insufficiently documented due to anecdotal or hard-to-access information. One of them, the honeycomb worm Sabellaria alveolata (L.) is a tube-building polychaete that can form large reefs, providing important ecosystem services such as coastal protection and habitat provision. It ranges from Scotland to Morocco, yet little is known about its distribution outside of the United Kingdom, where it is protected and where there is a strong heritage of natural history and sustained observations. As a result, online marine biodiversity information systems currently contain haphazardly distributed records of S. alveolata. One of the objectives of the REEHAB project (http://www.honeycombworms.org) was to combine historical records with contemporary data to document changes in the distribution and abundance of S. alveolata. Here we publish the result of the curation of 331 sources, gathered from literature, targeted surveys, local conservation reports, museum specimens, personal communications by authors and by their research teams, national biodiversity information systems (i.e. the UK National Biodiversity Network (NBN), https://nbn.org.uk/) and validated citizen science observations (i.e. https://www.inaturalist.org/). 80% of these records were not previously referenced in any online information system. Additionally, historic field notebooks from Edouard Fischer-Piette and Gustave Gilson were scanned for S. alveolata information and manually entered. Each of the 21512 S. alveolata records were checked for spatial and taxonomic accuracy, particularly in the English Channel and the North Sea where incorrectly identified observations of intertidal Sabellaria spinulosa were recorded. A further 54 observations are recorded as ‘Sabellaria spp.’ as the available information did not allow for an identification to species level. Many sources reported abundances based on the semi-quantitative SACFOR scale whilst others simply noted its presence, and others still verified both its absence and presence. The result is a curated and comprehensive dataset spanning over two centuries on the past and present global distribution and abundance of S. alveolata. Sabellaria alveolata records projected onto a 50km grid. When SACFOR scale abundance scores were given to occurrence records, the highest abundance value per grid cell was retained.",Sabellaria spinulosa,https://www.gbif.org/species/5199282
https://pndb.opendatasoft.com/explore/assets/a-collection-of-datasets-on-forest-biodiversity-and-microclimates-in-france-2019-2023/,A collection of datasets on forest biodiversity and microclimates in France (2019-2023),"All the data stored in this collection of datasets was collected during the period 2019-2023 within the framework of the project number ANR-19-CE32-0005 entitled ""Impacts of Microclimatic Processes on foRest bIodiversity redistributioN under macroclimaTe warming"" (IMPRINT) funded by the Agence nationale de la recherche (ANR). The project aims to model forest microclimates at fine spatiotemporal resolution and link it to understory biodiversity data. The different datasets available in that collection contain (i) biodiversity surveys (vascular plants, bryophytes and soil artropods), (ii) in-situ microclimate records (both air and soil temperature near the ground surface), (iii) ground-truth measurements of stand characteristics (maximum height, stem diameter, species identity and status) and (iv) high-resolution airborne LiDAR images, all collected across three deciduous state forests in France (Aigoual, Blois and Mormal). Mormal is a lowland forest dominated by beech (Fagus sylvatica) and/or pedunculate oak (Quercus robur) stands, Blois is a lowland forest dominated by pure sessile oak stands (Quercus petraea), and Aigoual is a mountain forest dominated by pure beech stands. All three are state forests managed by the ONF (Office National des Forêts, i.e. French forest office), mostly as even-aged “high forests”, except for a few coppices in Aigoual as well as some stands not managed for accessibility or conservation reasons.","Fagus sylvatica, Quercus petraea, Quercus robur","https://www.gbif.org/species/2882316, https://www.gbif.org/species/2880130, https://www.gbif.org/species/2878688"
https://pndb.opendatasoft.com/explore/assets/abondance-daraignee-de-mer-maja-squinado-observee-lors-des-campagnes-scientifiques-sur-la-periode-2005-2010/,Abondance d'araignée de mer (Maja squinado) observée lors des campagnes scientifiques sur la période...,"L'abondance d'araignées (Maja squinado) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : CGFS (2005-2009), LANGOLF (2006-2009), ORHAGO (2007-2010). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).","Maja squinado, Maja squinado","https://www.gbif.org/species/5178690, https://www.gbif.org/species/5178690"
https://pndb.opendatasoft.com/explore/assets/abondance-de-galathee-munida-bamffia-observee-lors-des-campagnes-scientifiques-sur-la-periode-2006-2010/,Abondance de galathée (Munida bamffia) observée lors des campagnes scientifiques sur la période 2006...,"Lien vers les données L'abondance de galathée (Munida bamffia) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : LANGOLF (2006-2009), ORHAGO (2007-2010). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Munida bamffia,https://www.gbif.org/species/11369288
https://pndb.opendatasoft.com/explore/assets/abondance-de-grande-roussette-scyliorhinus-stellaris-observee-lors-des-campagnes-scientifiques-sur-la-periode-2005-2009/,Abondance de grande roussette (Scyliorhinus stellaris) observée lors des campagnes scientifiques sur...,Lien vers les données L'abondance de grande roussette (Scyliorhinus stellaris) est exprimée en nombre d’individus par km² et observée lors de la campagne halieutique de l'Ifremer utilisant un engin de pêche ”traînant de fond” : CGFS (2005-2009). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).,Scyliorhinus stellaris,https://www.gbif.org/species/2418670
https://pndb.opendatasoft.com/explore/assets/abondance-de-juveniles-de-ceteau-dicologlossa-cuneata-observee-lors-des-campagnes-scientifiques-sur-la-periode-2000-2009/,Abondance de juvéniles de céteau (Dicologlossa cuneata) observée lors des campagnes scientifiques su...,"Lien vers les données L'abondance de juvéniles de céteau (Dicologlossa cuneata) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Nurse Loire et Gironde (2000-2003), Nurse Vilaine (2003-2009), PECOS (2004-2006). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Dicologlossa cuneata,https://www.gbif.org/species/2410042
https://pndb.opendatasoft.com/explore/assets/abondance-de-juveniles-de-langoustine-nephrops-norvegicus-observee-lors-des-campagnes-scientifiques-sur-la-periode-2006-2009/,Abondance de juvéniles de langoustine (Nephrops norvegicus) observée lors des campagnes scientifique...,Lien vers les données L'abondance de juvéniles de langoustine (Nephrops norvegicus) est exprimée en nombre d’individus par km² et observée lors de la campagne halieutique de l'Ifremer utilisant un engin de pêche ”traînant de fond” : LANGOLF (2006-2009). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).,Nephrops norvegicus,https://www.gbif.org/species/2226962
https://pndb.opendatasoft.com/explore/assets/abondance-de-juveniles-de-maigre-argyrosomus-regius-observee-lors-des-campagnes-scientifiques-sur-la-periode-2000-2006/,Abondance de juvéniles de maigre (Argyrosomus regius) observée lors des campagnes scientifiques sur ...,"Lien vers les données L'abondance de juvéniles de maigre (Argyrosomus regius) est exprimée en nombre d’individus par km² et observée lors des campagnes halieutiques de l'Ifremer utilisant un engin de pêche ”traînant de fond” : Nurse Loire et Gironde (2000-2003), PECOS (2004-2006). Données utilisées dans le cadre d'une étude visant à l'identification de zones de moindres contraintes pour l'exploitation de granulats marins (étude confiée par le Ministère chargé de l'écologie).",Argyrosomus regius,https://www.gbif.org/species/5212437
