Title,Ground Truth,LLM Extracted (Validated),Precision,Recall,Accuracy,F1,Raw_Precision,Raw_Recall,Raw_Accuracy,Raw_F1,Accepted Names JSON,Misspellings Found,Unrecognized
Mesure Colibri juin 2017 ZATU,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
Pollen species carried by wild bees in wooded and herbaceous semi-natural habitats,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Variabilité des traits et de l'environnement stationnel et édaphique chez la plante subantarctique Lyallia kerguelensis (Iles Kerguelen 2015-2019, IPEV PlantEvol)",Lyallia kerguelensis,Lyallia kerguelensis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Lyallia kerguelensis"": ""https://www.gbif.org/species/3701799""}",,
Données de réplication pour : Mating system and the evolution of recombination rates in seed plants ECOBIO,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
Dataset of male and female reproductive success in the forest tree species Abies alba Mill.,Abies alba,Abies alba,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Abies alba"": ""https://www.gbif.org/species/2685484""}",,
"Individual fruit and cone production, pollen and biomass data for European beech (Fagus sylvatica L.) and silver fir (Abies alba Mill.) from their geographic range margins in south-eastern France","Fagus sylvatica, Abies alba","Fagus sylvatica, Abies alba",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"{""Fagus sylvatica"": ""https://www.gbif.org/species/2882316"", ""Abies alba"": ""https://www.gbif.org/species/2685484""}","Fagus sylvatica L., Abies alba Mill.",
"Replication data for ""Effects of pathogen reproduction system on the evolutionary and epidemiological control provided by deployment strategies for two major resistance genes in agricultural landscapes""",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
"Cartographie des colonies de crépidules (Crepidula fornicata Linné, 1758) dans la baie de Marennes-Oléron. Etat 1994-1995",Crepidula fornicata,Crepidula fornicata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Crepidula fornicata"": ""https://www.gbif.org/species/5192789""}",,
Estimation des abondances (pondérées par canyon) des Funiculina quadrangularis observées en submersibles entre 1995 et 2011 en Méditerranée française,Funiculina quadrangularis,Funiculina quadrangularis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Funiculina quadrangularis"": ""https://www.gbif.org/species/2258652""}",,
Présence de Renouées en Région Auvergne-Rhône-Alpes,,Fallopia bohemica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""Fallopia bohemica"": ""https://www.gbif.org/species/5652296""}",Fallopia x bohemica,
"Distribution de Mimachlamys varia (CPERM 367, AphiaID 236719) en ATLANTIQUE",Mimachlamys varia,Mimachlamys varia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Mimachlamys varia"": ""https://www.gbif.org/species/4373480""}",,
"Distribution de Anapagurus hindmanni (CPERM 1005, AphiaID 107217) en ATLANTIQUE",Anapagurus hyndmanni,Anapagurus hyndmanni,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"{""Anapagurus hyndmanni"": ""https://www.gbif.org/species/4312306""}",Anapagurus hindmanni,
"Distribution de Jorunna tomentosa (CPERM 2418, AphiaID 140166) en ATLANTIQUE",Jorunna tomentosa,Jorunna tomentosa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Jorunna tomentosa"": ""https://www.gbif.org/species/2292454""}",,
"Distribution de Berthella plumula (CPERM 7486, AphiaID 140812) en ATLANTIQUE",Berthella plumula,Berthella plumula,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""Berthella plumula"": ""https://www.gbif.org/species/2302622""}",,
Densité des principales familles taxonomiques de l’ichtyofaune observées par vidéo rotative STAVIRO par station en Nouvelle-Calédonie,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,{},,
